Sr,Bed,Bath,Size,Price
1,6,6,500,10.5
2,5,6,500,11
3,6,6,500,10.4
4,6,7,500,11.2
5,5,5,500,9
6,4,6,300,7.75
7,6,7,1000,26
8,4,6,300,7.25
9,4,5,300,7.9
10,4,4,500,8.5
11,5,5,500,11.5
12,6,6,500,11.5
13,6,6,500,11.5
14,6,6,500,11.25
15,6,6,500,9.75
16,6,6,500,9.75
17,6,8,500,10
18,4,5,500,7
19,6,7,500,9.4
20,4,5,300,7.75
21,9,6,1000,16.75
22,6,6,600,12
23,3,3,100,3.7
24,6,7,400,9.25
25,4,4,100,3.65
26,5,5,500,7.35
27,6,7,1053,21.9
28,5,6,500,9.99
29,4,5,200,4.65
30,4,5,300,6.25
31,5,6,500,12
32,4,5,100,4.3
33,6,6,700,17.5
34,6,6,500,10.5
35,6,6,500,10.5
36,5,6,150,4.75
37,6,6,500,15
38,6,6,500,11.25
39,6,7,600,11
40,6,6,700,18.25
41,7,6,500,10
42,5,6,500,10
43,5,7,500,8.5
44,5,7,500,7.25
45,5,6,205,5.9
46,4,5,300,7
47,5,6,500,11.5
48,6,7,500,10.5
49,5,6,333,7.1
50,4,5,333,7.1
